FIRE_NAME,acres_geom,sev1_acres,sev2_acres,sev3_acres,sev4_acres,sev5_acres,sev6_acres,burned_acres
HILL,139.12967216312597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVOCADO,137.58165286556684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JONES POINT,136.5942338525005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DERSCH,133.29917469878887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAILROAD,131.8767569102928,179.02784887296127,44.478968664089756,0.4447896866408976,0.0,0.6671845299613464,0.6671845299613464,223.95160722369192
SMOKETREE,129.99498203994474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN DIMAS,128.16881067791226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRIS,124.99864354353097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,120.7201968882432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PITZER,118.7801944444933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORKS,117.23462932861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASIC,116.17732203771375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NELSON,109.60160703450214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLARK,106.78582760820818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NELSON,103.3323387393831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTELOPE,101.76807305858436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REDWOOD,101.40070762727659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESA,100.55537919186288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POINT,93.22540446007618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP 21,93.04940065232448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCK POOL,92.71651454581782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-8,92.39560562910319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASINO,91.57932907908815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODY,90.52121696023406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING ROCK,90.21193463286052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIBERTY,88.69220550359483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONCUT,88.18573418859906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SALT,86.66322149999719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EQUESTRIAN,83.61882589110148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIDGE,82.71411195461845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTERS,82.13953327431875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKYLINE 3,79.95454302673346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARNES,79.41737832902928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIEW,77.05918932995618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DULUTH,71.94934615806216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMANCHE,66.15622483964769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINGS,65.94627717793126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-19,65.00828028184647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II-2,64.87540958055645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POPE,64.28283118949024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILL,63.227076526620614,60.04660769652117,68.05282205605732,0.0,0.0,0.0,0.0,128.0994297525785
AIRLINE,62.40776663784706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLAT,62.040899879542415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNT R,61.77020634483141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H - 8 WELL,60.9905595722853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIPP,59.731683904891554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILLOWS,58.15129401123413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAR,57.78549968576237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARISH,57.63134373478428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTON,56.79853894421703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELDS,55.32902913672503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPPER,54.708331193153214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOOD,54.357467385423526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLACER,53.15906011656093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITTLE SODA,53.089352117092254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LILAC,52.846732352279986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAGE,51.16019804570782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARDEN,49.009172138984944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,48.125483108247394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKYLINE,47.93220691973239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
